keV	keVe	f	fe	mod
692.43396	21.6919861	2772.16406	478.31781	2561.04077
757.464478	43.338501	2207.10889	372.066071	2534.56885
844.176025	43.3730164	2405.24487	465.860748	2474.85449
952.921997	65.3729858	2327.33789	457.29892	2367.39673
1151.57751	133.282501	2352.00317	439.434448	2173.72241
1605.11255	320.252502	2167.61401	453.24762	1759.45435
2277.35449	351.989502	1333.87317	627.936279	1298.99963
3112.61499	483.270996	658.202637	658.974243	967.685303
4241.38916	645.503052	-428.523285	483.08905	709.093384
5732.56934	845.677002	136.192001	559.975647	526.184875
7740.24854	1162.00244	1433.90063	776.371155	386.866913
9335.69922	433.448242	759.072144	1477.22351	313.696625
17	1	444.050629	67.2202911	384.457672
19	1	540.911133	62.0905647	443.568085
21	1	578.06134	52.2496147	501.116272
23	1	609.72168	45.1747551	556.068237
25	1	649.213806	40.0776672	608.191345
27	1	734.792603	45.1664352	656.93457
29.0499992	1.05000019	682.588562	44.7589722	704.059021
31.0999985	0.999999046	656.001282	47.7840157	748.039917
33.1500015	1.05000114	868.525696	58.1213722	788.771484
35.25	1.04999924	854.894714	59.8404083	827.539307
37.2999992	1	940.854675	64.9871445	862.105042
39.3499985	1.05000114	916.469971	65.9752884	895.430847
41.4500008	1.04999924	909.364563	67.0208969	927.854309
43.5499992	1.04999924	907.259521	68.4513168	955.039795
45.6999969	1.10000038	1029.3822	73.5847168	985.152405
47.8499985	1.05000114	892.905518	73.9688873	1010.49512
50	1.09999847	1094.84119	78.7659607	1034.76514
52.1500015	1.05000114	1077.67432	83.3672943	1058.9248
54.3000031	1.10000038	1066.72314	83.3724213	1081.1571
56.5	1.09999847	1042.1604	86.6070175	1102.71582
58.6999969	1.10000038	1147.5686	90.6139832	1123.24524
60.9000015	1.10000038	1154.0813	91.9173126	1143.14514
63.0999985	1.09999847	1222.03906	97.0332413	1162.79309
65.3000031	1.10000229	1196.2085	103.404564	1178.08203
67.5500031	1.14999771	1276.5343	107.112457	1195.95044
69.8000031	1.10000229	1097.99866	104.893929	1215.18579
72.0500031	1.14999771	997.964478	105.110573	1229.15759
74.3000031	1.10000229	1088.53589	112.033348	1245.23132
76.5500031	1.14999771	1128.82715	119.189507	1261.34094
78.8499985	1.15000153	1173.41968	124.780693	1274.74927
81.1500015	1.15000153	1112.59534	125.168396	1290.53455
83.4499969	1.14999771	1080.49988	134.423523	1304.797
85.8000031	1.20000076	1413.87976	151.236511	1316.62439
88.1500015	1.15000153	1434.17358	157.278061	1334.45886
90.5	1.19999695	1323.82861	154.834854	1342.57922
92.8499985	1.15000153	1379.93237	162.344101	1356.95532
95.1999969	1.20000076	1595.82397	179.477478	1372.13501
97.6000061	1.20000076	1476.59692	174.200027	1383.36938
100	1.19999695	1414.95984	198.39801	1392.45593
102.399994	1.20000076	1438.04321	184.824173	1406.17664
104.800003	1.20000076	1311.98657	198.604767	1419.09595
107.199997	1.20000076	1220.32642	214.559906	1431.29297
109.650002	1.25	1544.98157	240.38327	1443.57703
113.350006	2.45000076	1370.89709	182.416336	1455.92371
117	1.19999695	1501.05444	274.133636	1473.27209
120.699997	2.5	1221.53381	213.792953	1489.02087
125.75	2.55000305	1527.39062	234.608719	1510.20459
130.800003	2.5	1534.66089	248.312668	1530.53601
137.149994	3.84999847	1546.86206	241.567047	1554.93054
144.899994	3.90000153	1393.25598	278.926178	1584.49597
