t,L_sum,L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9
1291.549665014884,4.1676562899685767e+39,4.1676562899685767e+39,4.1676562899685767e+39,4.1676562899685767e+39,4.1676562899685767e+39,4.1676562899685767e+39,4.1676562899685767e+39,4.1676562899685767e+39,4.1676562899685767e+39,4.1676562899685767e+39,4.1676562899685767e+39
1467.799267622069,4.6038489204015255e+39,4.6038489204015255e+39,4.6038489204015255e+39,4.6038489204015255e+39,4.6038489204015255e+39,4.6038489204015255e+39,4.6038489204015255e+39,4.6038489204015255e+39,4.6038489204015255e+39,4.6038489204015255e+39,4.6038489204015255e+39
1668.100537200059,5.0714144740347975e+39,5.0714144740347975e+39,5.0714144740347975e+39,5.0714144740347975e+39,5.0714144740347975e+39,5.0714144740347975e+39,5.0714144740347975e+39,5.0714144740347975e+39,5.0714144740347975e+39,5.0714144740347975e+39,5.0714144740347975e+39
1895.7356524063753,5.570003246971756e+39,5.570003246971756e+39,5.570003246971756e+39,5.570003246971756e+39,5.570003246971756e+39,5.570003246971756e+39,5.570003246971756e+39,5.570003246971756e+39,5.570003246971756e+39,5.570003246971756e+39,5.570003246971756e+39
2154.4346900318824,6.09882667456373e+39,6.09882667456373e+39,6.09882667456373e+39,6.09882667456373e+39,6.09882667456373e+39,6.09882667456373e+39,6.09882667456373e+39,6.09882667456373e+39,6.09882667456373e+39,6.09882667456373e+39,6.09882667456373e+39
2448.4367468222267,8.168280179251469e+39,6.656635989508395e+39,8.168280179251469e+39,8.168280179251469e+39,8.168280179251469e+39,8.168280179251469e+39,8.168280179251469e+39,8.168280179251469e+39,8.168280179251469e+39,8.168280179251469e+39,8.168280179251469e+39
2782.559402207123,1.4005007187528984e+40,7.241706813356915e+39,1.4005007187528984e+40,1.4005007187528984e+40,1.4005007187528984e+40,1.4005007187528984e+40,1.4005007187528984e+40,1.4005007187528984e+40,1.4005007187528984e+40,1.4005007187528984e+40,1.4005007187528984e+40
3162.2776601683795,1.9824639425905342e+40,7.851831398920371e+39,1.9824639425905342e+40,1.9824639425905342e+40,1.9824639425905342e+40,1.9824639425905342e+40,1.9824639425905342e+40,1.9824639425905342e+40,1.9824639425905342e+40,1.9824639425905342e+40,1.9824639425905342e+40
3593.813663804626,2.558103537364101e+40,8.484321354493267e+39,2.558103537364101e+40,2.558103537364101e+40,2.558103537364101e+40,2.558103537364101e+40,2.558103537364101e+40,2.558103537364101e+40,2.558103537364101e+40,2.558103537364101e+40,2.558103537364101e+40
4084.2386526745217,2.766723564574094e+40,9.136022951572715e+39,3.12437013275737e+40,2.766723564574094e+40,2.766723564574094e+40,2.766723564574094e+40,2.766723564574094e+40,2.766723564574094e+40,2.766723564574094e+40,2.766723564574094e+40,2.766723564574094e+40
